"train/global_step","another-working-run - _step","another-working-run - _step__MIN","another-working-run - _step__MAX","another-working-run - eval/accuracy_pass@1/+_5d_2t","another-working-run - eval/accuracy_pass@1/+_5d_2t__MIN","another-working-run - eval/accuracy_pass@1/+_5d_2t__MAX","another-working-run - eval/accuracy_pass@1/+_5d_3t","another-working-run - eval/accuracy_pass@1/+_5d_3t__MIN","another-working-run - eval/accuracy_pass@1/+_5d_3t__MAX","another-working-run - eval/accuracy_pass@1/+_5d_4t","another-working-run - eval/accuracy_pass@1/+_5d_4t__MIN","another-working-run - eval/accuracy_pass@1/+_5d_4t__MAX","another-working-run - eval/accuracy_pass@1/+_6d_2t","another-working-run - eval/accuracy_pass@1/+_6d_2t__MIN","another-working-run - eval/accuracy_pass@1/+_6d_2t__MAX","another-working-run - eval/accuracy_pass@1/+_6d_3t","another-working-run - eval/accuracy_pass@1/+_6d_3t__MIN","another-working-run - eval/accuracy_pass@1/+_6d_3t__MAX","another-working-run - eval/accuracy_pass@1/+_6d_4t","another-working-run - eval/accuracy_pass@1/+_6d_4t__MIN","another-working-run - eval/accuracy_pass@1/+_6d_4t__MAX","another-working-run - eval/accuracy_pass@1/+_7d_2t","another-working-run - eval/accuracy_pass@1/+_7d_2t__MIN","another-working-run - eval/accuracy_pass@1/+_7d_2t__MAX","another-working-run - eval/accuracy_pass@1/+_7d_3t","another-working-run - eval/accuracy_pass@1/+_7d_3t__MIN","another-working-run - eval/accuracy_pass@1/+_7d_3t__MAX","another-working-run - eval/accuracy_pass@1/+_7d_4t","another-working-run - eval/accuracy_pass@1/+_7d_4t__MIN","another-working-run - eval/accuracy_pass@1/+_7d_4t__MAX","another-working-run - eval/accuracy_pass@1/+_8d_2t","another-working-run - eval/accuracy_pass@1/+_8d_2t__MIN","another-working-run - eval/accuracy_pass@1/+_8d_2t__MAX","another-working-run - eval/accuracy_pass@1/+_8d_3t","another-working-run - eval/accuracy_pass@1/+_8d_3t__MIN","another-working-run - eval/accuracy_pass@1/+_8d_3t__MAX","another-working-run - eval/accuracy_pass@1/+_8d_4t","another-working-run - eval/accuracy_pass@1/+_8d_4t__MIN","another-working-run - eval/accuracy_pass@1/+_8d_4t__MAX"
"11","329","329","329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","658","658","658","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","987","987","987","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","1316","1316","1316","0.5","0.5","0.5","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","1645","1645","1645","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0.5","0.5","0.5","0","0","0","0","0","0"
"66","1974","1974","1974","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","0","0","0","0","0","0","0","0","0"
"77","2303","2303","2303","0.5","0.5","0.5","0","0","0","1","1","1","0.5","0.5","0.5","0","0","0","0","0","0","1","1","1","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0"
"88","2632","2632","2632","1","1","1","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","0.5","0.5","0.5","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"99","2961","2961","2961","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0"
"110","3290","3290","3290","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1","1","1","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
