"train/global_step","another-working-run - _step","another-working-run - _step__MIN","another-working-run - _step__MAX","another-working-run - eval/rewards/correctness_reward_func/mean","another-working-run - eval/rewards/correctness_reward_func/mean__MIN","another-working-run - eval/rewards/correctness_reward_func/mean__MAX","another-working-run - eval/rewards/numeric_reward_func/mean","another-working-run - eval/rewards/numeric_reward_func/mean__MIN","another-working-run - eval/rewards/numeric_reward_func/mean__MAX","another-working-run - eval/rewards/length_penalty_reward_func/mean","another-working-run - eval/rewards/length_penalty_reward_func/mean__MIN","another-working-run - eval/rewards/length_penalty_reward_func/mean__MAX","another-working-run - eval/rewards/correctness_reward_func/std","another-working-run - eval/rewards/correctness_reward_func/std__MIN","another-working-run - eval/rewards/correctness_reward_func/std__MAX","another-working-run - eval/rewards/numeric_reward_func/std","another-working-run - eval/rewards/numeric_reward_func/std__MIN","another-working-run - eval/rewards/numeric_reward_func/std__MAX","another-working-run - eval/rewards/length_penalty_reward_func/std","another-working-run - eval/rewards/length_penalty_reward_func/std__MIN","another-working-run - eval/rewards/length_penalty_reward_func/std__MAX"
"11","329","329","329","0","0","0","0","0","0","-2.301666647195816","-2.301666647195816","-2.301666647195816","0","0","0","0","0","0","0.1786623289808631","0.1786623289808631","0.1786623289808631"
"22","658","658","658","0.20833333333333334","0.20833333333333334","0.20833333333333334","0.041666666666666664","0.041666666666666664","0.041666666666666664","-2.014749983946482","-2.014749983946482","-2.014749983946482","0.2946278254191081","0.2946278254191081","0.2946278254191081","0.058925564090410866","0.058925564090410866","0.058925564090410866","0.14224631463487944","0.14224631463487944","0.14224631463487944"
"33","987","987","987","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.08333333333333333","0.08333333333333333","0.08333333333333333","-1.8926666676998138","-1.8926666676998138","-1.8926666676998138","0.5892556508382162","0.5892556508382162","0.5892556508382162","0.11785112818082173","0.11785112818082173","0.11785112818082173","0.13835723721422255","0.13835723721422255","0.13835723721422255"
"44","1316","1316","1316","0.625","0.625","0.625","0.20833333333333334","0.20833333333333334","0.20833333333333334","-1.6695833206176758","-1.6695833206176758","-1.6695833206176758","0.8838834762573242","0.8838834762573242","0.8838834762573242","0.1767766922712326","0.1767766922712326","0.1767766922712326","0.23676294243584076","0.23676294243584076","0.23676294243584076"
"55","1645","1645","1645","1.25","1.25","1.25","0.20833333333333334","0.20833333333333334","0.20833333333333334","-1.4864166875680287","-1.4864166875680287","-1.4864166875680287","1.7677669525146484","1.7677669525146484","1.7677669525146484","0.2946278204520543","0.2946278204520543","0.2946278204520543","0.3560282615944743","0.3560282615944743","0.3560282615944743"
"66","1974","1974","1974","1.25","1.25","1.25","0.2708333333333333","0.2708333333333333","0.2708333333333333","-1.4221666653951008","-1.4221666653951008","-1.4221666653951008","1.1785113016764324","1.1785113016764324","1.1785113016764324","0.20623947431643805","0.20623947431643805","0.20623947431643805","0.26422225839147967","0.26422225839147967","0.26422225839147967"
"77","2303","2303","2303","2.0833333333333335","2.0833333333333335","2.0833333333333335","0.375","0.375","0.375","-1.1361666768789291","-1.1361666768789291","-1.1361666768789291","1.1785113016764324","1.1785113016764324","1.1785113016764324","0.058925564090410866","0.058925564090410866","0.058925564090410866","0.3354043283810218","0.3354043283810218","0.3354043283810218"
"88","2632","2632","2632","2.0833333333333335","2.0833333333333335","2.0833333333333335","0.3958333333333333","0.3958333333333333","0.3958333333333333","-0.9010833352804184","-0.9010833352804184","-0.9010833352804184","0.5892556508382162","0.5892556508382162","0.5892556508382162","0.0883883461356163","0.0883883461356163","0.0883883461356163","0.3011096427217126","0.3011096427217126","0.3011096427217126"
"99","2961","2961","2961","2.9166666666666665","2.9166666666666665","2.9166666666666665","0.4583333333333333","0.4583333333333333","0.4583333333333333","-0.7605833311875662","-0.7605833311875662","-0.7605833311875662","1.1785113016764324","1.1785113016764324","1.1785113016764324","0.058925564090410866","0.058925564090410866","0.058925564090410866","0.276360901024115","0.276360901024115","0.276360901024115"
"110","3290","3290","3290","2.7083333333333335","2.7083333333333335","2.7083333333333335","0.5","0.5","0.5","-0.7372500052054723","-0.7372500052054723","-0.7372500052054723","2.0623947779337564","2.0623947779337564","2.0623947779337564","0","0","0","0.18349421241631111","0.18349421241631111","0.18349421241631111"
"121","3619","3619","3619","2.9166666666666665","2.9166666666666665","2.9166666666666665","0.4791666666666667","0.4791666666666667","0.4791666666666667","-0.6127500012516975","-0.6127500012516975","-0.6127500012516975","1.1785113016764324","1.1785113016764324","1.1785113016764324","0.029462782045205433","0.029462782045205433","0.029462782045205433","0.22544921593119702","0.22544921593119702","0.22544921593119702"
"132","3948","3948","3948","3.125","3.125","3.125","0.4791666666666667","0.4791666666666667","0.4791666666666667","-0.5637500037749609","-0.5637500037749609","-0.5637500037749609","1.4731391270955403","1.4731391270955403","1.4731391270955403","0.029462782045205433","0.029462782045205433","0.029462782045205433","0.24454110519339642","0.24454110519339642","0.24454110519339642"
"143","4277","4277","4277","3.125","3.125","3.125","0.5","0.5","0.5","-0.5412500028808912","-0.5412500028808912","-0.5412500028808912","1.4731391270955403","1.4731391270955403","1.4731391270955403","0","0","0","0.1794872742223864","0.1794872742223864","0.1794872742223864"
"154","4606","4606","4606","3.3333333333333335","3.3333333333333335","3.3333333333333335","0.4583333333333333","0.4583333333333333","0.4583333333333333","-0.6303333366910616","-0.6303333366910616","-0.6303333366910616","1.7677669525146484","1.7677669525146484","1.7677669525146484","0.058925564090410866","0.058925564090410866","0.058925564090410866","0.26705066331972677","0.26705066331972677","0.26705066331972677"
"165","4935","4935","4935","3.125","3.125","3.125","0.5","0.5","0.5","-0.5389999995628992","-0.5389999995628992","-0.5389999995628992","2.0623947779337564","2.0623947779337564","2.0623947779337564","0","0","0","0.08061017039775227","0.08061017039775227","0.08061017039775227"
"176","5264","5264","5264","2.9166666666666665","2.9166666666666665","2.9166666666666665","0.5","0.5","0.5","-0.5469166611631712","-0.5469166611631712","-0.5469166611631712","1.7677669525146484","1.7677669525146484","1.7677669525146484","0","0","0","0.16322380995067456","0.16322380995067456","0.16322380995067456"
"187","5593","5593","5593","2.9166666666666665","2.9166666666666665","2.9166666666666665","0.5","0.5","0.5","-0.49424999703963596","-0.49424999703963596","-0.49424999703963596","1.1785113016764324","1.1785113016764324","1.1785113016764324","0","0","0","0.12126880736711125","0.12126880736711125","0.12126880736711125"
"198","5922","5922","5922","3.5416666666666665","3.5416666666666665","3.5416666666666665","0.5","0.5","0.5","-0.6433333307504654","-0.6433333307504654","-0.6433333307504654","1.4731391270955403","1.4731391270955403","1.4731391270955403","0","0","0","0.16617009431744614","0.16617009431744614","0.16617009431744614"
"209","6251","6251","6251","2.7083333333333335","2.7083333333333335","2.7083333333333335","0.4791666666666667","0.4791666666666667","0.4791666666666667","-0.5405833298961321","-0.5405833298961321","-0.5405833298961321","2.0623947779337564","2.0623947779337564","2.0623947779337564","0.029462782045205433","0.029462782045205433","0.029462782045205433","0.1547385435066341","0.1547385435066341","0.1547385435066341"
